Timestamp,Level,Source,Message,Exception
2025-10-23T11:28:56.2497014,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=15, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:28:56.1639414,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=15, Текущее состояние=AwaitUnload",
2025-10-23T11:28:56.1547125,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=15, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:28:56.0677804,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=15, Текущее состояние=AwaitUnload",
2025-10-23T11:28:56.0585143,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=15, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:28:55.9232643,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=15, Текущее состояние=AwaitUnload",
2025-10-23T11:28:55.9148414,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=15, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:28:55.7635139,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=15, Текущее состояние=AwaitUnload",
2025-10-23T11:28:55.7549490,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=15, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:28:55.6672043,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=15, Текущее состояние=AwaitUnload",
2025-10-23T11:28:55.6586753,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=15, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:28:55.5713692,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=15, Текущее состояние=AwaitUnload",
2025-10-23T11:28:55.5627416,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=15, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:28:55.4595194,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=15, Текущее состояние=AwaitUnload",
2025-10-23T11:28:55.4510593,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=15, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:28:55.3642141,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=15, Текущее состояние=AwaitUnload",
2025-10-23T11:28:55.3550506,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=15, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:28:55.2511940,Information,Scalemon.SignalBus.SignalBus,Отправка команды на Arduino: Completed (0x14),
2025-10-23T11:28:55.2447437,Information,Scalemon.SignalBus.SignalBus,Отправка команды на Arduino: Unstable (0x13),
2025-10-23T11:28:55.2366440,Debug,Scalemon.FSM.PlateauZeroStateMachine,"→ AwaitUnload (plateau confirmed), peak≈15",
2025-10-23T11:28:55.2281886,Debug,Scalemon.FSM.PlateauZeroStateMachine,FSM: Переход из [Weighing] в [AwaitUnload],
2025-10-23T11:28:55.2198119,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=15, Текущее состояние=Weighing",
2025-10-23T11:28:55.2111855,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=15, Стабилен=True, Подключено=True, Авария=False",
