Timestamp,Level,Source,Message,Exception
2025-10-23T10:13:56.3301559,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=0, Текущее состояние=IdleZero",
2025-10-23T10:13:56.2973193,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T10:13:56.1960978,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=0, Текущее состояние=IdleZero",
2025-10-23T10:13:56.1860121,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T10:13:56.0512559,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=0, Текущее состояние=IdleZero",
2025-10-23T10:13:56.0415250,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T10:13:55.9074090,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=0.02, Текущее состояние=IdleZero",
2025-10-23T10:13:55.8975949,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0.02, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T10:13:55.7955049,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=0.02, Текущее состояние=IdleZero",
2025-10-23T10:13:55.7861919,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0.02, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T10:13:55.6510951,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=0.02, Текущее состояние=IdleZero",
2025-10-23T10:13:55.6416682,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0.02, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T10:13:55.5086882,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=0.02, Текущее состояние=IdleZero",
2025-10-23T10:13:55.4977489,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0.02, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T10:13:55.3955514,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=0.02, Текущее состояние=IdleZero",
2025-10-23T10:13:55.3862565,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0.02, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T10:13:55.2514717,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=0.02, Текущее состояние=IdleZero",
2025-10-23T10:13:55.2417979,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0.02, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T10:13:55.1100611,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=0.02, Текущее состояние=IdleZero",
2025-10-23T10:13:55.0982153,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0.02, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T10:13:54.9957067,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=0.02, Текущее состояние=IdleZero",
2025-10-23T10:13:54.9865395,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0.02, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T10:13:54.8536841,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=0.02, Текущее состояние=IdleZero",
2025-10-23T10:13:54.8420161,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0.02, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T10:13:54.7087855,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=0.02, Текущее состояние=IdleZero",
2025-10-23T10:13:54.6984127,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0.02, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T10:13:54.5960890,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=0.02, Текущее состояние=IdleZero",
2025-10-23T10:13:54.5866795,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0.02, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T10:13:54.4517967,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=0.02, Текущее состояние=IdleZero",
2025-10-23T10:13:54.4421931,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0.02, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T10:13:54.3077821,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=0.02, Текущее состояние=IdleZero",
2025-10-23T10:13:54.2985434,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0.02, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T10:13:54.1965472,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=0.02, Текущее состояние=IdleZero",
2025-10-23T10:13:54.1868813,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0.02, Стабилен=True, Подключено=True, Авария=False",
