Timestamp,Level,Source,Message,Exception
2025-10-23T08:17:18.9686464,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.64, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T08:17:18.8572356,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.64, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T08:17:18.7612820,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=12.5, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T08:17:18.6305463,Information,Scalemon.SignalBus.SignalBus,Отправка команды на Arduino: Unstable (0x13),
2025-10-23T08:17:18.6172705,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=2.5, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T08:17:15.0665658,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=0, Текущее состояние=IdleZero",
2025-10-23T08:17:14.9350543,Information,Scalemon.SignalBus.SignalBus,Отправка команды на Arduino: Idle (0x12),
2025-10-23T08:17:14.9299675,Information,Scalemon.SignalBus.SignalBus,Отправка команды на Arduino: Unstable (0x13),
2025-10-23T08:17:14.9249843,Information,Scalemon.FSM.PlateauZeroStateMachine,→ IdleZero,
2025-10-23T08:17:14.9193914,Debug,Scalemon.FSM.PlateauZeroStateMachine,FSM: Переход из [PostUnload] в [IdleZero],
2025-10-23T08:17:14.9110528,Information,Scalemon.SqlDataAccess.SqlDataAccess,Записано взвешивание: 14.70,
2025-10-23T08:17:14.8993661,Information,Scalemon.FSM.PlateauZeroStateMachine,"Запись взвешивания: net=14.7kg (peak=14.7, tail=0, flags=None)",
2025-10-23T08:17:14.8917471,Debug,Scalemon.FSM.PlateauZeroStateMachine,→ PostUnload,
2025-10-23T08:17:14.8842243,Debug,Scalemon.FSM.PlateauZeroStateMachine,FSM: Переход из [AwaitUnload] в [PostUnload],
2025-10-23T08:17:14.8743764,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=0, Текущее состояние=AwaitUnload",
2025-10-23T08:17:14.7307307,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=0, Текущее состояние=AwaitUnload",
2025-10-23T08:17:14.0272419,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T08:17:13.9310171,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T08:17:13.8193067,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0, Стабилен=False, Подключено=True, Авария=False",
